rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,note_current_output,mode,mode_counts,adjone,adjtwo,adjthree,information,note_accumulated_error_counts,err_failed_mode_count,err_failed_XI_format,err_failed_checkInformation,err_trigger_unknown_error_occured,err_bad_uppercase_character,err_bad_lowercase_character,err_bad_three_adj_element,err_bad_first_element,err_bad_character,err_wrong_element_length
1720654910660161225,,1,,1720654910,659662485,"""parsed arduino output""","""----following is current parsed message----""",'',0,0,0,0,'',"""----following are accumulated error counts----""",0,0,0,0,0,1,0,0,0,0
1720654910663987955,,2,,1720654910,663797140,"""parsed arduino output""","""----following is current parsed message----""",'',0,0,0,0,'',"""----following are accumulated error counts----""",0,0,0,0,0,2,0,0,0,0
1720654910760411369,,3,,1720654910,760188102,"""parsed arduino output""","""----following is current parsed message----""",'',0,0,0,0,'',"""----following are accumulated error counts----""",0,0,0,0,0,3,0,0,0,0
1720654910860853321,,4,,1720654910,860439062,"""parsed arduino output""","""----following is current parsed message----""",'',0,0,0,0,'',"""----following are accumulated error counts----""",0,0,0,0,0,4,0,0,0,0
1720654910960433627,,5,,1720654910,960234642,"""parsed arduino output""","""----following is current parsed message----""",'',0,0,0,0,'',"""----following are accumulated error counts----""",0,0,0,0,0,5,0,0,0,0
1720654911060988415,,6,,1720654911,60452699,"""parsed arduino output""","""----following is current parsed message----""",'',0,0,0,0,'',"""----following are accumulated error counts----""",0,0,0,0,0,6,0,0,0,0
1720654911160675247,,7,,1720654911,160363674,"""parsed arduino output""","""----following is current parsed message----""",'',0,0,0,0,'',"""----following are accumulated error counts----""",0,0,0,0,0,7,0,0,0,0
1720654911260883037,,8,,1720654911,260418653,"""parsed arduino output""","""----following is current parsed message----""",'',0,0,0,0,'',"""----following are accumulated error counts----""",0,0,0,0,0,8,0,0,0,0
1720654911360710428,,9,,1720654911,360346317,"""parsed arduino output""","""----following is current parsed message----""",'',0,0,0,0,'',"""----following are accumulated error counts----""",0,0,0,0,0,9,0,0,0,0
1720654911460557237,,10,,1720654911,460275411,"""parsed arduino output""","""----following is current parsed message----""",'',0,0,0,0,'',"""----following are accumulated error counts----""",0,0,0,0,0,10,0,0,0,0
1720654911560506351,,11,,1720654911,560246229,"""parsed arduino output""","""----following is current parsed message----""",'',0,0,0,0,'',"""----following are accumulated error counts----""",0,0,0,0,0,11,0,0,0,0
1720654911660570039,,12,,1720654911,660306215,"""parsed arduino output""","""----following is current parsed message----""",'',0,0,0,0,'',"""----following are accumulated error counts----""",0,0,0,0,0,12,0,0,0,0
1720654911760674103,,13,,1720654911,760401487,"""parsed arduino output""","""----following is current parsed message----""",'',0,0,0,0,'',"""----following are accumulated error counts----""",0,0,0,0,0,12,0,0,0,0
1720654911861187545,,14,,1720654911,860907793,"""parsed arduino output""","""----following is current parsed message----""",'',0,0,0,0,'',"""----following are accumulated error counts----""",0,0,0,0,0,13,0,0,0,0
1720654911960862305,,15,,1720654911,960646152,"""parsed arduino output""","""----following is current parsed message----""",'',0,0,0,0,'',"""----following are accumulated error counts----""",0,0,0,0,0,13,0,0,0,0
1720654912060698980,,16,,1720654912,60331344,"""parsed arduino output""","""----following is current parsed message----""",'',0,0,0,0,'',"""----following are accumulated error counts----""",0,0,0,0,0,13,0,0,0,0
